IncidntNum,Category,Descript,Date,X,Y
160002154,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,01/01/2016,-122.413107622693,37.7654480180266
130749546,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,01/01/2016,-122.410955248906,37.7841399509594
160003130,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,01/02/2016,-122.405721454567,37.7808789360214
150521863,PROSTITUTION,INMATE/KEEPER OF HOUSE OF PROSTITUTION,10/15/2016,-122.485038730456,37.7612911364242
130749546,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,01/01/2016,-122.410955248906,37.7841399509594
160007079,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,01/03/2016,-122.404216808646,37.7747034828996
160007104,DRUG/NARCOTIC,POSSESSION OF HEROIN,01/03/2016,-122.413893155951,37.782346520673
160007477,DRUG/NARCOTIC,POSSESSION OF HEROIN,01/03/2016,-122.408421116922,37.7835699386918
160007477,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,01/03/2016,-122.408421116922,37.7835699386918
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
